cluster_id,time_idx,timestamp,cluster_size,mean_abs_err,max_abs_err,sensor_ids,sensor_names,sensor_indices
613,358,2024-01-01 20:35:42,2,0.0121288001537323,0.012484866194427013,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
8433,4394,2024-01-01 21:42:58,2,0.01212859246879816,0.014838078990578651,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
18294,8157,2024-01-01 22:45:41,2,0.012128248810768127,0.012835741974413395,620;874,UsIlChicago620;UsWiDodgeville874,0;30
8551,4462,2024-01-01 21:44:06,2,0.012128151953220367,0.015136389061808586,984;1071,UsGaNorcross984;UsTnKnoxville1071,47;55
15260,7212,2024-01-01 22:29:56,2,0.012127481400966644,0.0151063809171319,874;1355,UsWiDodgeville874;UsMiKingsford1355,30;59
15775,7381,2024-01-01 22:32:45,2,0.012125588022172451,0.012432762421667576,859;1055,UsCtUnivconn859;UsNjRedBank1055,28;50
1491,833,2024-01-01 20:43:37,2,0.012124836444854736,0.012611773796379566,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55
11946,5994,2024-01-01 22:09:38,2,0.012124824337661266,0.013645296916365623,874;1059,UsWiDodgeville874;UsIlGalesburg1059,30;52
5033,2593,2024-01-01 21:12:57,2,0.012123840861022472,0.014076769351959229,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
206,115,2024-01-01 20:31:39,2,0.012122473679482937,0.01235978864133358,1144;1382,UsWaSpokane1144;UsWaSpokane1382,57;66
4795,2342,2024-01-01 21:08:46,2,0.0121219577267766,0.014362020418047905,859;1364,UsCtUnivconn859;UsNyQueens1364,28;62
2467,1315,2024-01-01 20:51:39,2,0.012121345847845078,0.014534782618284225,774;1491,UsNjTomsriver774;UsDeMillsboro1491,20;82
8342,4318,2024-01-01 21:41:42,2,0.012120896019041538,0.014364505186676979,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97
14004,6822,2024-01-01 22:23:26,2,0.012119865044951439,0.014427786692976952,792;847,UsVaHaymarket792;UsVaNewportnews847,24;26
