cluster_id,time_idx,timestamp,cluster_size,score,magnitude,mean_freq_dev,mean_rocof_dev,sensor_ids,sensor_names,sensor_indices
18,2641,2024-01-01 20:05:27,2,0.06819411739706993,0.034097058698534966,0.02951638773083687,0.004580670967698097,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
17,2639,2024-01-01 20:05:25,2,0.059952263720333576,0.029976131860166788,0.026035012677311897,0.003941119182854891,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
25,3500,2024-01-01 20:19:46,2,0.05814369395375252,0.02907184697687626,0.018464159220457077,0.010607687756419182,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
6,224,2024-01-01 19:25:10,2,0.05673202499747276,0.02836601249873638,0.019658751785755157,0.008707260712981224,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
13,1620,2024-01-01 19:48:26,2,0.054890481755137444,0.027445240877568722,0.021203208714723587,0.006242032162845135,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
19,2655,2024-01-01 20:05:41,2,0.053563970141112804,0.026781985070556402,0.022171124815940857,0.004610860254615545,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
5,220,2024-01-01 19:25:06,2,0.05193285271525383,0.025966426357626915,0.017952926456928253,0.008013499900698662,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
14,1622,2024-01-01 19:48:28,2,0.05046876147389412,0.02523438073694706,0.01985754258930683,0.005376838147640228,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
8,1536,2024-01-01 19:47:02,2,0.049864573404192924,0.024932286702096462,0.020035237073898315,0.004897049628198147,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
11,1611,2024-01-01 19:48:17,2,0.049519503489136696,0.024759751744568348,0.0193821769207716,0.005377574823796749,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
26,3503,2024-01-01 20:19:49,2,0.048756709322333336,0.024378354661166668,0.02007705345749855,0.0043013012036681175,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
2,200,2024-01-01 19:24:46,2,0.04836226813495159,0.024181134067475796,0.017025211825966835,0.007155922241508961,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
24,3493,2024-01-01 20:19:39,2,0.04808337893337011,0.024041689466685057,0.01952221989631653,0.004519469570368528,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
23,3490,2024-01-01 20:19:36,2,0.04684401489794254,0.02342200744897127,0.017547104507684708,0.005874902941286564,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
12,1616,2024-01-01 19:48:22,2,0.046201007440686226,0.023100503720343113,0.018916837871074677,0.004183665849268436,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
9,1551,2024-01-01 19:47:17,2,0.04619092773646116,0.02309546386823058,0.015524518676102161,0.00757094519212842,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
10,1610,2024-01-01 19:48:16,2,0.04521997459232807,0.022609987296164036,0.01750994101166725,0.005100046284496784,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
3,206,2024-01-01 19:24:52,2,0.044816446490585804,0.022408223245292902,0.018152866512537003,0.004255356732755899,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
21,3487,2024-01-01 20:19:33,2,0.044025689363479614,0.022012844681739807,0.01828986033797264,0.003722984343767166,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
4,218,2024-01-01 19:25:04,2,0.043437691405415535,0.021718845702707767,0.016136929392814636,0.005581916309893131,792;1491,UsVaHaymarket792;UsDeMillsboro1491,24;82
20,2897,2024-01-01 20:09:43,2,0.04309873003512621,0.021549365017563105,0.01739933341741562,0.004150031600147486,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
0,149,2024-01-01 19:23:55,2,0.0405709370970726,0.0202854685485363,0.015164592303335667,0.005120876245200634,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
16,2206,2024-01-01 19:58:12,2,0.04046791419386864,0.02023395709693432,0.01448377687484026,0.005750180222094059,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
1,155,2024-01-01 19:24:01,2,0.03962079342454672,0.01981039671227336,0.015629461035132408,0.004180935677140951,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
7,1310,2024-01-01 19:43:16,2,0.03864637017250061,0.019323185086250305,0.012967836111783981,0.006355348974466324,709;725,UsTxWaco709;UsTxTamu725,7;9
15,2096,2024-01-01 19:56:22,2,0.03828969970345497,0.019144849851727486,0.015003922395408154,0.004140927456319332,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
27,3504,2024-01-01 20:19:50,2,0.03797908127307892,0.01898954063653946,0.014619330875575542,0.004370209760963917,984;2009,UsGaNorcross984;UsOhCleveland2009,47;104
22,3489,2024-01-01 20:19:35,2,0.037595014087855816,0.018797507043927908,0.013910025358200073,0.004887481685727835,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50
