episode_id,sensor_set,cluster_size,start_time_idx,end_time_idx,peak_time_idx,n_frames,duration_steps,peak_mean_abs_err,peak_max_abs_err,sensor_ids,sensor_names,sensor_indices,peak_timestamp,rank_score
25,757;1144;1382;1691,4,689,738,734,13,50,0.0225521065294742,0.0395099036395549,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 20:41:58,0.02931773848831646
26,757;1144;1358;1382;1691,5,3474,3474,3474,1,1,0.019855773076415,0.0341115854680538,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 21:27:38,0.028790870960801747
27,757;1144;1358;1382;1691,5,1835,1835,1835,1,1,0.0194644425064325,0.0278748553246259,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 21:00:19,0.02822344163432712
28,1069;1071,2,7081,7691,7147,245,611,0.0276236906647682,0.0318926200270652,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55,2024-01-01 22:28:51,0.0276236906647682
29,973;1661,2,5789,6947,6234,179,1159,0.0274776723235845,0.0348164811730384,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 22:13:38,0.0274776723235845
30,1055;1491,2,3137,3144,3141,7,8,0.0274352673441171,0.0401598699390888,1055;1491,UsNjRedBank1055;UsDeMillsboro1491,50;82,2024-01-01 21:22:05,0.0274352673441171
31,859;1055;1126;1364;1405;1491;1667,7,6020,6020,6020,1,1,0.0154957575723528,0.0221650004386901,859;1667;1364;1126;1055;1491;1405,UsCtUnivconn859;UsMaNeiso1667;UsNyQueens1364;UsVtPutney1126;UsNjRedBank1055;UsDeMillsboro1491;UsPaHarrisburg1405,28;98;62;56;50;82;70,2024-01-01 22:10:04,0.027117575751617398
32,859;1055,2,6236,6433,6236,18,198,0.0266993883997201,0.0305597558617591,859;1055,UsCtUnivconn859;UsNjRedBank1055,28;50,2024-01-01 22:13:40,0.0266993883997201
33,620;874;1059;1650,4,7833,7975,7862,44,143,0.020530292764306,0.0288347676396369,620;1059;1650;874,UsIlChicago620;UsIlGalesburg1059;UsIlSpringfield1650;UsWiDodgeville874,0;52;94;30,2024-01-01 22:40:46,0.026689380593597798
34,1144;1382;1691,3,51,2271,1987,854,2221,0.0231686402112245,0.0285845883190631,1144;1691;1382,UsWaSpokane1144;UsWaRichland1691;UsWaSpokane1382,57;101;66,2024-01-01 21:02:51,0.026643936242908173
35,980;1367,2,6129,6158,6134,30,30,0.0264514461159706,0.0312140472233295,980;1367,UsMsHattiesburg980;UsMsGulfport1367,46;63,2024-01-01 22:11:58,0.0264514461159706
36,1144;1382,2,3655,4547,4131,119,893,0.0259165652096271,0.0286127664148807,1144;1382,UsWaSpokane1144;UsWaSpokane1382,57;66,2024-01-01 21:38:35,0.0259165652096271
37,973;1661,2,2926,4115,3606,207,1190,0.0257914401590824,0.029843172058463,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 21:29:50,0.0257914401590824
38,774;1405,2,4750,4750,4750,1,1,0.0255319364368915,0.0389837101101875,774;1405,UsNjTomsriver774;UsPaHarrisburg1405,20;70,2024-01-01 21:48:54,0.0255319364368915
39,757;1144;1382;1691,4,2623,2639,2639,7,17,0.0196081586182117,0.0308698192238807,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 21:13:43,0.02549060620367521
40,774;792;859;1055,4,6633,6643,6641,9,11,0.0194415971636772,0.025527773424983,774;1055;859;792,UsNjTomsriver774;UsNjRedBank1055;UsCtUnivconn859;UsVaHaymarket792,20;50;28;24,2024-01-01 22:20:25,0.025274076312780364
41,792;859;1055;1359;1364;1491;1680,7,6464,6464,6464,1,1,0.0144121395424008,0.0200906135141849,792;1680;1491;1055;1364;1359;859,UsVaHaymarket792;UsNcRaleigh1680;UsDeMillsboro1491;UsNjRedBank1055;UsNyQueens1364;UsNyBinghamton1359;UsCtUnivconn859,24;99;82;50;62;61;28,2024-01-01 22:17:28,0.025221244199201402
42,730;757;1144;1382;1691,5,5043,5131,5043,2,89,0.0173490233719348,0.0251348242163658,730;757;1382;1691;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;17;66;101;57,2024-01-01 21:53:47,0.02515608388930546
43,730;757;1144;1382;1691,5,4257,4332,4257,2,76,0.0172542855143547,0.0249753184616565,730;757;1382;1691;1144,UsMTMduglendive730;UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,11;17;66;101;57,2024-01-01 21:40:41,0.02501871399581431
44,774;792;859;1055;1491,5,3262,3265,3265,4,4,0.0170698948204517,0.0287347957491874,774;1491;1055;859;792,UsNjTomsriver774;UsDeMillsboro1491;UsNjRedBank1055;UsCtUnivconn859;UsVaHaymarket792,20;82;50;28;24,2024-01-01 21:24:09,0.024751347489654962
45,859;1364,2,5052,5060,5052,9,9,0.0247395746409893,0.0289746858179569,859;1364,UsCtUnivconn859;UsNyQueens1364,28;62,2024-01-01 21:53:56,0.0247395746409893
46,1069;1071;2009,3,7260,7325,7269,47,66,0.0214512292295694,0.0314291715621948,1069;2009;1071,UsTnChattanoogaTVA1069;UsOhCleveland2009;UsTnKnoxville1071,54;104;55,2024-01-01 22:30:53,0.02466891361400481
47,1367;1417;1425,3,6984,7013,6985,10,30,0.0212257038801908,0.0303858928382396,1367;1425;1417,UsMsGulfport1367;UsGaWhigham1425;UsGaValdosta1417,63;76;74,2024-01-01 22:26:09,0.02440955946221942
48,757;1144;1358;1382;1691,5,3299,3299,3299,1,1,0.0168262384831905,0.0266968961805105,757;1382;1691;1358;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;USWaBellingham1358;UsWaSpokane1144,17;66;101;60;57,2024-01-01 21:24:43,0.02439804580062622
49,749;767;874;1059;1355;1650,6,6867,6875,6875,2,9,0.0152377560734748,0.0189197324216365,749;767;1650;1059;874;1355,UsMoGape749;UsIlMarion767;UsIlSpringfield1650;UsIlGalesburg1059;UsWiDodgeville874;UsMiKingsford1355,16;19;94;52;30;59,2024-01-01 22:24:19,0.024380409717559684
50,792;859;1055;1491,4,3820,3832,3830,12,13,0.0187401864677667,0.0247292630374431,792;1491;1055;859,UsVaHaymarket792;UsDeMillsboro1491;UsNjRedBank1055;UsCtUnivconn859,24;82;50;28,2024-01-01 21:33:34,0.02436224240809671
51,774;792;847;859;1364;1491,6,7456,7465,7465,3,10,0.0151033774018287,0.0220432691276073,774;1491;847;1364;859;792,UsNjTomsriver774;UsDeMillsboro1491;UsVaNewportnews847;UsNyQueens1364;UsCtUnivconn859;UsVaHaymarket792,20;82;26;62;28;24,2024-01-01 22:34:09,0.024165403842925922
52,1055;1364,2,3495,3508,3507,7,14,0.0241014175117015,0.0349862650036811,1055;1364,UsNjRedBank1055;UsNyQueens1364,50;62,2024-01-01 21:28:11,0.0241014175117015
53,1367;1417,2,7498,7553,7498,6,56,0.0239786282181739,0.0385104976594448,1367;1417,UsMsGulfport1367;UsGaValdosta1417,63;74,2024-01-01 22:34:42,0.0239786282181739
54,792;859;1055;1364;1405,5,4131,4136,4133,6,6,0.0164599493145942,0.0246626175940036,792;1055;1405;1364;859,UsVaHaymarket792;UsNjRedBank1055;UsPaHarrisburg1405;UsNyQueens1364;UsCtUnivconn859,24;50;70;62;28,2024-01-01 21:38:37,0.02386692650616159
55,774;859;1055;1491,4,1606,1613,1612,6,8,0.0183506868779659,0.0282752141356468,774;1491;1055;859,UsNjTomsriver774;UsDeMillsboro1491;UsNjRedBank1055;UsCtUnivconn859,20;82;50;28,2024-01-01 20:56:36,0.02385589294135567
56,774;792;1491,3,409,441,415,11,33,0.0206487495452165,0.0284020043909549,774;1491;792,UsNjTomsriver774;UsDeMillsboro1491;UsVaHaymarket792,20;82;24,2024-01-01 20:36:39,0.023746061976998974
57,1144;1358;1382;1691,4,414,414,414,1,1,0.0181137099862098,0.0227683037519454,1144;1691;1382;1358,UsWaSpokane1144;UsWaRichland1691;UsWaSpokane1382;USWaBellingham1358,57;101;66;60,2024-01-01 20:36:38,0.023547822982072742
58,1066;1069;1071;1398;2009,5,7490,7490,7490,1,1,0.0160998255014419,0.0275171361863613,1066;1398;1071;2009;1069,UsOhCincinnati1066;UsInImpa1398;UsTnKnoxville1071;UsOhCleveland2009;UsTnChattanoogaTVA1069,53;67;55;104;54,2024-01-01 22:34:34,0.023344746977090755
59,973;1367;1425;1661,4,7129,7257,7235,6,129,0.0179265346378088,0.0277427490800619,973;1661;1425;1367,UsFlOrlando973;UsFlBonitaSprings1661;UsGaWhigham1425;UsMsGulfport1367,44;97;76;63,2024-01-01 22:30:19,0.02330449502915144
60,774;1055;1364,3,7110,7137,7135,12,28,0.0201473180204629,0.0260349623858928,774;1364;1055,UsNjTomsriver774;UsNyQueens1364;UsNjRedBank1055,20;62;50,2024-01-01 22:28:39,0.023169415723532334
61,1069;1071,2,7819,8138,7880,204,320,0.0230592153966426,0.0275732986629009,1069;1071,UsTnChattanoogaTVA1069;UsTnKnoxville1071,54;55,2024-01-01 22:41:04,0.0230592153966426
62,774;792,2,174,193,176,11,20,0.0230125971138477,0.030573459342122,774;792,UsNjTomsriver774;UsVaHaymarket792,20;24,2024-01-01 20:32:40,0.0230125971138477
63,973;1661,2,7432,8156,7521,140,725,0.0230007506906986,0.0264384038746356,973;1661,UsFlOrlando973;UsFlBonitaSprings1661,44;97,2024-01-01 22:35:05,0.0230007506906986
64,774;792;859;1055;1364;1491,6,5837,5838,5838,2,2,0.0141775906085968,0.0250276084989309,774;1491;1364;859;1055;792,UsNjTomsriver774;UsDeMillsboro1491;UsNyQueens1364;UsCtUnivconn859;UsNjRedBank1055;UsVaHaymarket792,20;82;62;28;50;24,2024-01-01 22:07:02,0.022684144973754882
65,1069;1071;2009,3,3592,3738,3616,28,147,0.0197049733251333,0.0364966243505477,1069;2009;1071,UsTnChattanoogaTVA1069;UsOhCleveland2009;UsTnKnoxville1071,54;104;55,2024-01-01 21:30:00,0.022660719323903292
66,774;859;1364,3,6911,7066,7014,15,156,0.0196706783026456,0.0247517749667167,774;1364;859,UsNjTomsriver774;UsNyQueens1364;UsCtUnivconn859,20;62;28,2024-01-01 22:26:38,0.02262128004804244
67,620;781;1059,3,7958,7984,7983,5,27,0.0195322465151548,0.0270916372537612,620;1059;781,UsIlChicago620;UsIlGalesburg1059;UsMoKirksville781,0;52;22,2024-01-01 22:42:47,0.02246208349242802
68,757;1144;1358;1382,4,4387,4387,4387,1,1,0.0171107798814773,0.0303173866122961,757;1382;1358;1144,UsMtMtu757;UsWaSpokane1382;USWaBellingham1358;UsWaSpokane1144,17;66;60;57,2024-01-01 21:42:51,0.02224401384592049
69,973;1367;1417;1661,4,7945,7945,7945,1,1,0.017109677195549,0.0263025574386119,973;1661;1417;1367,UsFlOrlando973;UsFlBonitaSprings1661;UsGaValdosta1417;UsMsGulfport1367,44;97;74;63,2024-01-01 22:42:09,0.0222425803542137
70,757;1144;1382;1691,4,2483,2488,2486,3,6,0.0170334912836551,0.021002423018217,757;1382;1691;1144,UsMtMtu757;UsWaSpokane1382;UsWaRichland1691;UsWaSpokane1144,17;66;101;57,2024-01-01 21:11:10,0.02214353866875163
71,774;1055,2,1831,1977,1929,51,147,0.0220670793205499,0.0281012430787086,774;1055,UsNjTomsriver774;UsNjRedBank1055,20;50,2024-01-01 21:01:53,0.0220670793205499
72,1071;2009,2,1979,2027,2007,14,49,0.0220523085445165,0.0346040911972522,1071;2009,UsTnKnoxville1071;UsOhCleveland2009,55;104,2024-01-01 21:03:11,0.0220523085445165
73,732;1715,2,8096,8165,8152,24,70,0.0219939034432172,0.027759738266468,732;1715,UsCaSacramento732;UsCaSandiego1715,12;103,2024-01-01 22:45:36,0.0219939034432172
74,774;792;859;1364,4,6791,6815,6793,8,25,0.0168151389807462,0.0229504685848951,774;1364;859;792,UsNjTomsriver774;UsNyQueens1364;UsCtUnivconn859;UsVaHaymarket792,20;62;28;24,2024-01-01 22:22:57,0.021859680674970062
75,620;874;1059;1355;1398;1650,6,6226,6226,6226,1,1,0.0136454971507191,0.0180035661906003,620;1398;1059;1650;874;1355,UsIlChicago620;UsInImpa1398;UsIlGalesburg1059;UsIlSpringfield1650;UsWiDodgeville874;UsMiKingsford1355,0;67;52;94;30;59,2024-01-01 22:13:30,0.021832795441150563
76,774;1055;1491,3,41,169,45,26,129,0.0188418328762054,0.0310526918619871,774;1491;1055,UsNjTomsriver774;UsDeMillsboro1491;UsNjRedBank1055,20;82;50,2024-01-01 20:30:29,0.021668107807636207
77,781;874;877;1059;1650,5,7271,7272,7271,2,2,0.0149182928726077,0.0275939833372831,781;1059;1650;874;877,UsMoKirksville781;UsIlGalesburg1059;UsIlSpringfield1650;UsWiDodgeville874;UsMnDodgeCenter877,22;52;94;30;31,2024-01-01 22:30:55,0.021631524665281163
